"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","response","context_n","context_img_id","probe_img_id","choice_outcomes","trial_n","pR_red","pR_white","pR_black","outcome","is_valid","image_to_show","probed_trial","probed_context","correct"
"","html-keyboard-response","32","69157","0.0-29.0-2.0","592.9250000044703","<div class='center'><p>How successful a pirate is at robbing ships can also change in a place.<p> Ships may hear about the pirates coming and will improve their defenses. This may make it more difficult to rob them.</p><p> Ships may also grow lazy and will lower their defenses. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='run_exp/static/images/contingency.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","",""
"","html-keyboard-response","33","69764","0.0-29.0-3.0","605.7349999900907","<div class='center'><p>Once you choose a pirate to rob a ship, you’ll be shown the ship they are robbing.</p><p>The ship will have a picture of the item they sold at the marketplace.</p><p> Try your best to remember the ship and where you saw the ship.</p><p> You’ll have to remember this for later, and remembering this correctly will help you win more bonus money!</p><p>You can remember the ship by remembering the item they sold at the marketplace</p><p>A helpful strategy is to try to come up with a story of the ship’s item interacting with the scene.</p><p> For example, a ship might have sold binoculars and you could imagine using the binoculars in the city. Or imagine an apple falling from a tree in the forest.</p><p><img src='run_exp/static/images/example_probe.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","",""
"","html-keyboard-response","34","70268","0.0-29.0-4.0","502.864999929443","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. You can’t win more gold. You just have to sit and wait.</p><p><img src='run_exp/static/images/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","",""
"","html-keyboard-response","35","70781","0.0-29.0-5.0","512.7749999519438","<div class='center'><p>Again, you have two important things to do: </p><b><p> 1. Pick the pirate who you think will be most successful at robbing the next ship.</p></b><b><p> 2. Remember where a pirate robbed a ship.</p> </b><p>Both are important in determining how much bonus money you’ll win.</p><br><p>Let’s try a practice game. The game will start by showing you the pirates. First pick a pirate using the <b> 1, 2, 3 </b> buttons on your keyboard. When you are shown a ship, try to remember the place you’re in by making up a story.</p><p> You only have 3 seconds to pick a pirate, so please make a choice quickly! If you are too slow, you’ll have to wait a bit during the time out.</p><p> Don’t feel rushed, but please do try to make a choice every time.</p><p>How good a pirate is at robbing a ship will change depending on the place they are in and how good the defenses are of the ship.</p> <p>This is just a practice game, so you’re not playing for money. </p><p>You’ll receive a bag which may or may not contain gold coins.</p><p> In the real game, though, you’ll be able to see whether or not you received the gold coins.</p><p> Good luck, remember press <b>'1'</b> to choose red beard, <b>'2'</b> to choose white beard, and <b>'3'</b> to choose black beard</p><p><b>[Press the space bar to begin the practice game]</b></p></div>","32","","","","","","","","","","","","","","","",""
"","do_trial_prac","36","76935","0.0-29.0-6.0","643.9699999755248","","","","49","6","blank","probe-260","","","","","","","","","","",""
"","do_trial_prac","37","84006","0.0-29.0-7.0","1561.809999984689","","","","49","6","blank","probe-261","","","","","","","","","","",""
"","do_trial_prac","38","90461","0.0-29.0-8.0","945.8299999823794","","","","49","6","blank","probe-262","","","","","","","","","","",""
"","do_trial_prac","39","96539","0.0-29.0-9.0","569.3650000030175","","","","49","6","blank","probe-263","","","","","","","","","","",""
"","do_trial_prac","40","103935","0.0-29.0-10.0","1887.2849999461323","","","","49","6","blank","probe-264","","","","","","","","","","",""
"","html-keyboard-response","41","104859","0.0-29.0-11.0","923.090000054799","<div class='center'><p>Great job on the practice game!</p><p> Now, you will be asked you some true or false questions to make sure you really understand the rules of the game.</p><p> Press <b>'1'</b> on the keyboard for true and press <b>'2'</b> for false.</p><p><b>[Press the space bar to begin the quiz]</b></p></div>","32","","","","","","","","","","","","","","","",""
