success,trial_type,trial_index,time_elapsed,internal_node_id
,html-keyboard-response,217,438943,0.0-104.0-1.0
,do_trial,218,440967,0.0-105.0-0.0
,html-keyboard-response,219,441978,0.0-105.0-1.0
,do_trial,220,443913,0.0-106.0-0.0
,html-keyboard-response,221,444929,0.0-106.0-1.0
,do_trial,222,448944,0.0-107.0-0.0
,html-keyboard-response,223,449949,0.0-107.0-1.0
,do_trial,224,451831,0.0-108.0-0.0
,html-keyboard-response,225,452843,0.0-108.0-1.0
,do_trial,226,454802,0.0-109.0-0.0
,html-keyboard-response,227,455811,0.0-109.0-1.0
,do_trial,228,458070,0.0-110.0-0.0
,html-keyboard-response,229,459077,0.0-110.0-1.0
,do_trial,230,461008,0.0-111.0-0.0
,html-keyboard-response,231,462023,0.0-111.0-1.0
,html-keyboard-response,232,462025,0.0-112.0-0.0
,judgement_attention_check,233,463224,0.0-113.0-0.0
,do_welcome,234,468235,0.0-113.0-1.0
,do_trial,235,470232,0.0-114.0-0.0
,html-keyboard-response,236,471238,0.0-114.0-1.0
,do_trial,237,473003,0.0-115.0-0.0
,html-keyboard-response,238,474008,0.0-115.0-1.0
,do_trial,239,475769,0.0-116.0-0.0
,html-keyboard-response,240,476778,0.0-116.0-1.0
,do_trial,241,478580,0.0-117.0-0.0
,html-keyboard-response,242,479584,0.0-117.0-1.0
,do_trial,243,481403,0.0-118.0-0.0
,html-keyboard-response,244,482410,0.0-118.0-1.0
,do_trial,245,484329,0.0-119.0-0.0
,html-keyboard-response,246,485334,0.0-119.0-1.0
,do_trial,247,487230,0.0-120.0-0.0
,html-keyboard-response,248,488239,0.0-120.0-1.0
,do_trial,249,490092,0.0-121.0-0.0
,html-keyboard-response,250,491103,0.0-121.0-1.0
,do_trial,251,493098,0.0-122.0-0.0
,html-keyboard-response,252,494104,0.0-122.0-1.0
,do_trial,253,496175,0.0-123.0-0.0
,html-keyboard-response,254,497186,0.0-123.0-1.0
,html-keyboard-response,255,501304,0.0-124.0-0.0
,do_pick_best_pirate,256,506711,0.0-125.0-0.0
,do_pick_secondBest_pirate,257,508077,0.0-125.0-1.0
,do_pick_best_pirate,258,509681,0.0-126.0-0.0
,do_pick_secondBest_pirate,259,510942,0.0-126.0-1.0
,do_pick_best_pirate,260,512527,0.0-127.0-0.0
,do_pick_secondBest_pirate,261,513785,0.0-127.0-1.0
,do_pick_best_pirate,262,515085,0.0-128.0-0.0
,do_pick_secondBest_pirate,263,516347,0.0-128.0-1.0
,do_pick_best_pirate,264,517725,0.0-129.0-0.0
,do_pick_secondBest_pirate,265,518979,0.0-129.0-1.0
,do_pick_best_pirate,266,520254,0.0-130.0-0.0
,do_pick_secondBest_pirate,267,521658,0.0-130.0-1.0
,html-keyboard-response,268,575151,0.0-131.0-0.0
